pilot,average_lap_time
Закалюк Євгеній,59.429
Бахмацький Олег,59.990
Ревчук Олексій,60.099
Нужний Олексій,60.426
Васильчук Назар,60.436
Ференс Дмитро,60.712
Шиленко Олександр,60.837
Маніло Денис,60.877
Стасюк Ярослав,61.093
Шендрік Влад,61.182
Ревчук Олександр,61.235
Ждан-Пушкін Антон,61.337
Козаков Єгор,61.485
Харченко Артем,61.605
Фортуна Тетяна,61.693
Дорош Андрій,61.710
Міщенко Єгор,61.719
Бєгішев Максим,61.748
Архіпов Олександр,61.783
Лихошерст Олексій,61.852
Литвиненко Віктор,61.864
Слащов Руслан,61.886
Дорохін Антон,61.980
Єлманов Сергій,63.134
Седінін Єгор,63.172
Кравченко Дмитро,63.277
