pilot,average_lap_time
Міфтахутдінов Ільяс,43.580
Шиленко Олександр,43.683
Ткаченко Кирило,43.725
Маніло Денис,43.735
Васильчук Назар,43.737
Бурім Сергій,43.765
Якусик Дмитро,43.781
Бахмацький Олег,43.824
Дорош Андрій,43.850
Ждан-Пушкін,Антон	43.867
Харченко Артем,43.883
Архіпов Олександр,43.893
Закалюк Євгеній,43.905
Нужний Олексій,43.905
Єлманов Сергій,43.925
Резанко Ольга,43.943
Ревчук Олександр,43.962
Литвиненко Віктор,43.983
Ревчук Олексій,43.987
Пивоварчук Максим,43.988
Лихошерст Олексій,44.049
Стасюк Ярослав,44.082
Бєгішев Максим,44.113
Дорохін Антон,44.136
Ференс Дмитро,44.172
Паничук Дмитро,44.172
Козаков Єгор,44.248
Міщенко Єгор,44.262
Кравченко Дмитро,44.264
Подзігун Максим,44.291
Фортуна Таня,44.323
Слащов Руслан,44.601
Діхтярук Олександр,44.726
Герасименя Дмитро,44.833
Осінський Станіслав,45.679
